Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
Hotel Silver Inn,4.3,"North Indian,Chinese",250.0,27.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Anny's Asian Bowls,3.8,"Asian,Burmese,Cantonese,Chinese,Indonesian,Malaysian,Momos,Thai",250.0,45.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Lucky Bakery,,"Bakery,Desserts",250.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Fun Shop,,Bakery,250.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Midnight Cake,,Bakery,250.0,18.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Kanha & Bakery,4.3,Bakery,250.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Raju Bhai Amar Restaurant,4.1,"North Indian,Street Food",250.0,37.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Coolberg Drinks,,Beverages,250.0,25.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Mugs & More Cafe And Restaurant,,"Chinese,Pasta,Fast Food,Street Food,Tea,Coffee",250.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hotel Panchwati Pure Veg,4.1,North Indian,250.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Good Food Restaurant,3.7,"North Indian,Fast Food,Chinese,Street Food",100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake City,3.1,Bakery,100.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Dreams Cafe Fast Food,,"Chinese,Street Food",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Narmade Har Fast Food,,"Chinese,Sandwich,South Indian,Burger",100.0,59.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake King,3.0,Bakery,100.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Wala,,"Bakery,Desserts",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bakers Point,3.4,Bakery,100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shri Melan Fast Food And Restaurant,,"North Indian,Chinese,South Indian,Sandwich,Fast Food,Beverages",100.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Art Of Cakes,,Bakery,100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Paatal Lok Cafe & Restaurant,4.0,"Burger,Chinese,North Indian,Sandwich,Street Food,Fast Food,Shake,Beverages",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Aflatoon,,"North Indian,Chinese,Momos",100.0,50.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Juice Bar,3.0,"Beverages,Shake",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Grill 35,3.7,"Cafe,Chinese,Sandwich,Burger,Pizza,Fast Food,Tea,Shake",150.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Baba Burger,,"Burger,Fast Food",150.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cakes 24,3.6,Bakery,150.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Tea Talks,4.0,"Rolls,Tea,North Indian,Street Food,Beverages,Sandwich",150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Urban Theka Coffee Holic Cafe,,"Burger,Pizza,Pasta,Fast Food,Street Food,Shake,Beverages",150.0,46.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
White Sugar,4.3,Bakery,150.0,24.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Party Packs,,Coffee,150.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Dawat-e-Darbar,,"North Indian,Biryani,Chinese,Burger,Sandwich,Fast Food",150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shusheela Maa Restro,,"North Indian,Street Food",150.0,40.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Walas,4.3,Bakery,150.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bakers Adda,,Bakery,150.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Cake Mixer,,Bakery,150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Delhi Chaap Wala By K-24/7,,North Indian,100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cozmoz - Resto Bar & Air Lounge,,"North Indian,Mughlai,Italian,Continental,Desserts",400.0,24.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Queen,3.0,"Bakery,Desserts",100.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake City,,Bakery,100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Four Dreams - The Live Cake Shop,,"Bakery,Desserts",200.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cakes International,,Bakery,150.0,32.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Meatoger By Murghee,4.0,"Burger,North Indian",100.0,25.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bhagat Ji Chowmin Corner,,"Chinese,Fast Food",100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Season 9,,North Indian,150.0,46.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shiva Café N' Restro,,"Sandwich,Fast Food,Street Food,Tea,Shake,Coffee,Beverages",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Seems Cafe & Restaurant,,"North Indian,Mughlai,Chinese",200.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Pizza Burger Tiffin Point,,"Pizza,Fast Food",150.0,42.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Rajhans Kitchen,,"North Indian,Fast Food,Shake",200.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Swad - The Taste Of Mumbai,4.2,"North Indian,Fast Food,Sandwich",150.0,43.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cafe Emerald Heights,3.4,"Fast Food,Sandwich,Pizza,Chinese,North Indian,Shake,Desserts,Beverages",350.0,27.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Best Belgian Waffle,4.0,"Desserts,Shake,Beverages",150.0,40.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hotel New Shikha,4.0,"Chinese,North Indian,Fast Food",250.0,44.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Fairyland Clarks Inn,4.0,"North Indian,Fast Food,Chinese,Continental,BBQ,Beverages",350.0,47.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Virus Chai Coffee Snacks,3.3,"Sandwich,Street Food,Burger,Beverages",100.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Super,,"Bakery,Desserts",150.0,19.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Naddu's Cafe,,"Tea,Shake,Coffee,Beverages,Fast Food,Street Food",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Kuppa Tea,4.3,Tea,100.0,44.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Damxung Noodles & Dumpling,3.2,"Chinese,Momos,Desserts,Beverages",300.0,45.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
North Pole,4.0,"Fast Food,Street Food,Biryani,North Indian,Desserts,Beverages,Shake",200.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Baker's At 169 Degree,4.0,Bakery,150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Raas - Hotel Sangam,4.0,"North Indian,Chinese",150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Anna Dosa Point,3.5,South Indian,150.0,45.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Aroma The Restro Cafe,3.2,"Fast Food,Street Food,Pizza,Chinese,Beverages",150.0,46.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shahi Haveli,4.1,"North Indian,Chinese,Finger Food,Seafood,Mughlai,Biryani,Desserts,Beverages",150.0,37.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Harsh Tasty Food,,"Fast Food,Street Food",150.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Studio,,Bakery,150.0,24.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Fres Chops Bar,3.0,"North Indian,Biryani",150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Socialite Seven,3.5,"Mughlai,Biryani,Fast Food,Pasta,Finger Food,Chinese,Continental,Desserts",150.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
New Chicken Zayqa,4.1,"Fast Food,American",150.0,21.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cook Dooh Kooh,4.2,"North Indian,Mughlai,Chinese,Fast Food",150.0,44.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Ultimate Cakes,,Bakery,150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Cake Shop,,Bakery,200.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Tanu Tea Cafe,,"Pizza,Sandwich,Fast Food,Street Food,Tea,Coffee",200.0,21.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Flex Food Company,4.1,Healthy Food,200.0,40.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Master,4.0,Bakery,200.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
HOC (High On Chai),4.3,"Beverages,Fast Food",200.0,37.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shri Hari Restaurant,4.0,Fast Food,200.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Point,3.1,Bakery,200.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Shagun's Restaurant,4.1,"North Indian,Chinese,Fast Food",200.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
House Of Candy,4.2,Desserts,200.0,18.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Meenu's Dosa,,"South Indian,Mithai",200.0,38.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Ecko- Artisanal Bistro,4.2,"North Indian,Continental,Chinese,Biryani,Pizza,Pasta",200.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Showroom,,Bakery,200.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Town,,Bakery,200.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Tom And Jerry Fast Food,,"Fast Food,Pizza,Burger,Street Food",100.0,32.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bella Vita Pizzeria,4.0,"Coffee,Italian,Pizza,Tea,Waffle,Pasta,Pancake,Beverages",200.0,49.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Sandwich Box,,"Sandwich,Burger,Fast Food,Street Food,Pizza,Chinese,Beverages",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Kuber Dairy,,"Mithai,South Indian,Street Food",250.0,37.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Ghoomar Traditional Thali Restaurant,3.4,"Rajasthani,North Indian",300.0,32.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Chow Down,,"Chinese,Fast Food,North Indian",100.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Sweet Cakes,3.3,Bakery,150.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Kuber Dairy,4.0,"Mithai,South Indian,Street Food",250.0,32.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hotel Blue Pearl,,Chinese,150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Theodroma,4.0,Bakery,100.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cakes Time,,Bakery,150.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Pancakes & Waffles,4.0,"Pancake,Waffle,Desserts,Tea,Beverages",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Shop,,Bakery,150.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Grey's Coffee Bistro Lounge,4.0,"Fast Food,Beverages",150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bittu Egg Corner,4.1,"Fast Food,North Indian",150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Fantasy,3.1,Bakery,150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Memsaheb,,"North Indian,Continental,Mughlai,Biryani,Desserts",150.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Box,3.2,Bakery,150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Healthify,4.5,Healthy Food,150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bhopal Biryani House,3.7,"Biryani,North Indian",150.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Sweet Tooth,,Bakery,150.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
BGMI Kitchen,,North Indian,150.0,19.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bottoms Up Pub & Cafebar,,"Chinese,Fast Food,Street Food,Rolls,Mughlai,North Indian,Desserts,Beverages",150.0,46.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Rishi Patties,,"Street Food,Fast Food,Sandwich,Pizza,Rolls,Burger,Chinese,Beverages",150.0,44.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Pure Sip,,"Juices,Shake,Beverages",150.0,27.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Heer's Munch Box,4.4,"North Indian,Fast Food",150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Midnight Cafe And Restaurant,4.1,"North Indian,Fast Food",150.0,47.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
LN Hotels and Resorts,3.9,"North Indian,Chinese,Fast Food,Mughlai,Biryani,Juices,Desserts",150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Ahuja Proteins,4.1,"Bakery,Fast Food",150.0,20.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Anand Namkeen,4.3,Street Food,150.0,19.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Theka Coffee,,"Shake,Beverages",150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Adda,3.3,Bakery,150.0,27.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Crafty Cakes,,Bakery,150.0,32.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Gourmet Ice Cream Cakes by Baskin Robbins,4.0,"Ice Cream,Bakery,Desserts",150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Eat Fresh Salad & Subs,,"Salad,Sandwich,American",150.0,40.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Bhopal Pizza Factory,,"Pizza,Fast Food,Beverages",200.0,43.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hotel Shree Meghdootam,3.5,"North Indian,Fast Food,Chinese,Street Food,Pizza,Pasta,Shake,Beverages",200.0,42.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
R-Mec Foods,,"Burger,Pizza,Fast Food,Momos,Beverages",200.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Veg Daawat By Behrouz,4.3,"Biryani,North Indian,Mughlai",200.0,19.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Corner,2.8,Bakery,200.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Culture Bakery Cafe,4.2,"Coffee,Bakery,Cafe,Italian,Fast Food",200.0,50.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Fusion Meals,,North Indian,200.0,50.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Satnam Foods,3.5,South Indian,200.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Fast Food Tack Away,3.7,North Indian,200.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Sun,2.7,Bakery,200.0,40.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Treat,3.5,Bakery,200.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cake Delight,2.7,Bakery,200.0,24.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Silbatta Foods,,"North Indian,Biryani",150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Papa Bakery,,Bakery,150.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cakes 251,,Bakery,150.0,31.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Make My Cake,,Bakery,200.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Firangi Bake,4.2,"Italian,Mexican",200.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hummus Nest,3.9,"Healthy Food,Arabian,Lebanese,Wraps,Fast Food,Desserts,Beverages",200.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Quick Rolls,,"Rolls,Wraps",100.0,43.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Combo Kitchen,,"North Indian,Fast Food,Burger",100.0,26.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Unsalad,4.2,"Salad,Healthy Food",200.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Prabodham Meeting Point,3.6,"Sandwich,Street Food,Shake,Beverages",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Gajanan Fast Food,,"South Indian,Chinese,Rolls,Pizza,Fast Food,Momos,Street Food,Shake",100.0,23.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Muskaan Kitchen,,"North Indian,Chinese",150.0,27.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Old Town Cafe,,"Burger,Fast Food",100.0,29.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Sip Stories,,"North Indian,Mughlai,Chinese,Seafood,Fast Food,Pasta,Biryani,Beverages",100.0,47.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Happy Meal Day,,"Chinese,North Indian,Fast Food,Beverages",100.0,24.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Royal Cakes,,Bakery,100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
KFB Restaurant,,"North Indian,Chinese,Pizza,Sandwich,Fast Food,Street Food,Desserts,Beverages",100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Chef De Cuisine,4.0,"Chinese,South Indian,Italian,Pasta,Biryani,Sandwich,Fast Food,Beverages",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Manorama Agency,,"Sandwich,Tea",100.0,39.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Annapurna Kitchen,,"North Indian,Chinese,Mughlai,Fast Food,Beverages",100.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Om Sai Bhojanalay,,"North Indian,Chinese,Biryani",100.0,45.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Chakhna King,,"Chinese,North Indian,Street Food,Sandwich,Pasta,Fast Food,Mughlai",100.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Al-Beiks,3.8,"Pizza,Fast Food,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Naveen's Bapu Ki Kutia,4.0,"North Indian,South Indian,Chinese,Fast Food,Desserts,Shake,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Chai Sutta Boyz,4.0,"Pasta,Pizza,Sandwich,Momos,Street Food,Tea,Coffee,Beverages",100.0,21.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Balaji's Family Restaurant,3.7,"North Indian,Chinese",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Top N Town,4.7,"Ice Cream,Desserts",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Piscro Foods,3.6,"North Indian,South Indian,Pizza,Fast Food,Street Food,Momos,Healthy Food,Juices",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hakeem Foods- The Tongue Twister,3.5,"Burger,Fast Food,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Merhaba,4.1,Fast Food,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
UBF,4.4,Fast Food,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Top N Town Bakery,4.3,"Bakery,Ice Cream,Fast Food",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Al-Baik.Com,4.1,"Fast Food,Chinese",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Top N Town Ice Cream,4.4,"Ice Cream,Desserts",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Indori Famous Utsav Poha,3.8,Street Food,50.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Marhaba Fried Chicken,3.6,"Shawarma,Pizza,Burger,Sandwich,Fast Food,Beverages",50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Eighteen Calories - The Healthy Food Cafe,3.8,"Healthy Food,Salad,Sandwich,Street Food,Fast Food,North Indian,Biryani,Beverages",50.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Al Baik In,3.5,Fast Food,50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Icekraft,3.7,"Desserts,Ice Cream,Shake,Pasta,Burger,Pizza,Beverages",50.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Hot N Spicy,3.9,"North Indian,Mughlai",50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Fryday's,3.9,"Pizza,Burger,Fast Food,Beverages",50.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Rima's Kitchen,4.1,"North Indian,Chinese",50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Momo House,4.0,"Momos,North Indian,Chinese,Street Food",50.0,21.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Little Kochi,4.2,"South Indian,Biryani",50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Mr Pizza,3.5,"Fast Food,Pizza,Beverages",50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
BFC - Bhopal Fried Chicken,3.5,Fast Food,50.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Burger Beast,3.0,"Pizza,Burger,Sandwich,Fast Food,Shawarma",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Alishan Restaurant,3.7,"North Indian,Chinese,Mughlai",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Momomia,3.8,"Chinese,Fast Food,Momos,Sandwich,Street Food,Pasta,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Kaffeine Diet,3.8,"Tea,Coffee,Beverages,Pizza,Fast Food,Street Food,Chinese",100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
WarmOven Cake & Desserts,4.0,"Bakery,Desserts,Ice Cream,Shake,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Al Baik,4.2,"Fast Food,Pizza,Burger,Sandwich,Rolls",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Khalifah,4.4,"Burger,Pizza,Sandwich,Fast Food",100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Cafe Arabia The Chicken Hub,3.8,"Lebanese,Fast Food,Pizza",100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Gyani De Chole Bhature,4.1,North Indian,100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Zam Zam Fried Chicken,3.7,"Burger,Fast Food",100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Veer Ji Malai Chaap Wale,4.0,"North Indian,Chinese,Rolls,Momos,Biryani,Fast Food,Shake,Beverages",100.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Eats X Grill,4.0,"Fast Food,Pizza,Shawarma,Sandwich,Burger",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Paratha Poppers,4.3,"Sandwich,Street Food,North Indian,Beverages",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Rudra Kitchen Bhojanalaya,,North Indian,150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Kumar's Kitchen,3.5,"Fast Food,Chinese,North Indian",150.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Mountain Everest,,"Fast Food,Street Food,North Indian",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
The Biryani Box,4.1,"Biryani,BBQ",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Frozen Hut,3.7,Bakery,150.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Momo Zone - The Momo Company,3.8,"Momos,Burger,Wraps,Fast Food,Desserts",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
White Shack,3.7,"Fast Food,Sandwich",150.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Al Hafeez Fast Food,,"Pizza,Sandwich,Fast Food",150.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
F For Fries,4.0,"Fast Food,Beverages",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Combo Cafe,3.7,"North Indian,Fast Food,Sandwich,Burger,Pasta,Chinese,Street Food,Shake",150.0,6.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Maa Annapurna Bhojanalya And Tiffin Center,3.9,"North Indian,South Indian,Shake",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Bhopal,False
Pizza Hut,3.8,"Pizza,Fast Food,Desserts,Beverages",200.0,34.0,Follows all Max Safety measures to ensure your food is safe,Bhubaneswar,False
Biriyani Box,4.0,"Biryani,North Indian,Fast Food,Kebab,Rolls,Desserts,Beverages",200.0,30.0,Follows all Max Safety measures to ensure your food is safe,Bhubaneswar,False
Green Chillyz,4.1,"Chinese,North Indian,Biryani,BBQ,Rolls,Kebab,Street Food",200.0,22.0,Restaurant partner follows WHO protocol,Bhubaneswar,False
Rolls On Wheels,3.8,"Rolls,North Indian",200.0,39.0,Restaurant partner follows WHO protocol,Bhubaneswar,False
KFC,4.1,"Fast Food,Burger,Pizza,Desserts,Beverages",200.0,13.0,Follows all Max Safety measures to ensure your food is safe,Bhubaneswar,False
Laziz Pizza,3.7,"Pizza,Fast Food,Burger,Sandwich,Beverages",200.0,41.0,Follows all Max Safety measures to ensure your food is safe,Bhubaneswar,False
Chhapan Bhog,4.2,"Mithai,North Indian,Street Food",200.0,28.0,Follows all Max Safety measures to ensure your food is safe,Bhubaneswar,False
