Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
Cake & More,4.3,"Bakery,Fast Food,Ice Cream,Desserts,Beverages",150.0,15.0,Restaurant partner follows WHO protocol,Agra,False
Hot Pizza,3.4,"Pizza,Fast Food,Desserts,Beverages,Shake",150.0,58.0,Restaurant partner follows WHO protocol,Agra,False
Pizza Delight Cafe And Restaurant,4.1,"Pizza,Fast Food",150.0,53.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Dubey Ji Da Dhaba,3.8,North Indian,100.0,26.0,Restaurant partner follows WHO protocol,Agra,False
New Moon Light Restaurant,3.5,North Indian,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Subway,4.0,"Sandwich,Healthy Food,Salad,Wraps,Beverages",100.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Papa Ji Da Dhaba,4.2,North Indian,100.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cakeology Cake,3.9,"Bakery,Desserts",100.0,32.0,Restaurant partner follows WHO protocol,Agra,False
The Greener Side,4.1,"Cafe,Fast Food,Burger,Sandwich,Desserts,Beverages,Waffle",100.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Om Sai Lassi And Juice Corner,4.3,Juices,100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
The Burger Company,4.0,"Burger,Fast Food,Momos,Pizza,Sandwich,Desserts,Beverages,Shake",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
European Bakery,3.3,"Bakery,Desserts",100.0,46.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Manoj Dhaba,3.9,North Indian,100.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shiva Bhojnalaya,3.6,North Indian,100.0,54.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Anant Restaurant,4.1,"South Indian,Street Food",100.0,26.0,Restaurant partner follows WHO protocol,Agra,False
Haldiram's,4.0,"North Indian,South Indian,Chinese,Fast Food,Street Food,Mithai,Beverages",200.0,21.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Kanak Misthan Bhandar,3.9,"Street Food,Mithai,Fast Food",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Atlantic Foods,4.2,"Bakery,Desserts,Fast Food,Beverages",200.0,24.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Agarwal Food Court,3.9,"South Indian,Chinese,Fast Food,Street Food,Beverages,North Indian",250.0,21.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sri Dauji's Chatpataa,4.1,"North Indian,South Indian,Chinese,Fast Food,Beverages,Desserts",200.0,32.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bakingo,4.4,"Bakery,Desserts",150.0,50.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhoji,4.2,"North Indian,Fast Food,Burger,Shake",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ratan Pizza,4.0,"Pizza,Fast Food,Street Food,Momos,Desserts,Beverages",200.0,39.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Royal Rolls,3.9,"Rolls,Fast Food,Beverages,Pizza,Burger",150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Deviram Sweets & Restaurant,4.2,"North Indian,Mithai,Fast Food,Beverages,Desserts",300.0,15.0,Restaurant partner follows WHO protocol,Agra,False
MKOP,4.4,"Bakery,Desserts,Street Food,Rolls,Beverages",150.0,17.0,Restaurant partner follows WHO protocol,Agra,False
The Belgian Waffle Co.,4.4,"Waffle,Ice Cream,Desserts,Beverages",200.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Desire Bakers,3.9,"Bakery,Desserts",50.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ichchha Veg Biryani & Fast Food,3.9,Biryani,50.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Master Chef Street Food (Chef Arjun ),3.9,"Fast Food,Italian,Pizza,Pasta,Beverages",50.0,21.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Deviram Food Circle,4.0,"Street Food,Chinese,South Indian",50.0,34.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Yum Yum Vada Pav No.1,3.5,Street Food,50.0,36.0,Restaurant partner follows WHO protocol,Agra,False
The Fresh Pizza,3.8,"Fast Food,Pizza",50.0,30.0,Restaurant partner follows WHO protocol,Agra,False
Panchhi Petha,4.4,Mithai,50.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Momos Point,4.1,Momos,50.0,26.0,Restaurant partner follows WHO protocol,Agra,False
Solanki Petiz,3.8,Fast Food,50.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Thali Adda,4.1,"North Indian,Desserts,Biryani",50.0,31.0,Restaurant partner follows WHO protocol,Agra,False
Food Stock Xchange,4.1,"Chinese,Rolls,North Indian,Biryani,Mughlai,Fast Food",50.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pushpak Misthan Bhandar Sweets And Snack,4.3,Mithai,50.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Yadav Dhaba,3.9,North Indian,100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Deviram Sweets & Food Plaza,4.3,"Mithai,North Indian,Fast Food,Chinese,South Indian,Biryani",100.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sai Food Hub,3.4,"Fast Food,Chinese,Bakery",100.0,45.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
